model_id,model_type,dataset_type,station,file_path,base_path,test_rmse,model_size_mb
lstm_separate_麥寮_A2K360_combined_windows,lstm,separate,麥寮_A2K360_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_麥寮_A2K360_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_麥寮_A2K360_combined_windows,3.09139387957686,0.07
lstm_separate_麥寮_A2K360_combined_windows,lstm,separate,麥寮_A2K360_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_麥寮_A2K360_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_麥寮_A2K360_combined_windows,,0.9
lstm_separate_善化_C0O900_combined_windows,lstm,separate,善化_C0O900_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_善化_C0O900_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_善化_C0O900_combined_windows,2.83064560443719,0.07
lstm_separate_善化_C0O900_combined_windows,lstm,separate,善化_C0O900_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_善化_C0O900_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_善化_C0O900_combined_windows,,0.9
lstm_separate_富貴角_C0AI20_combined_windows,lstm,separate,富貴角_C0AI20_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_富貴角_C0AI20_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_富貴角_C0AI20_combined_windows,2.16148021160301,0.07
lstm_separate_富貴角_C0AI20_combined_windows,lstm,separate,富貴角_C0AI20_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_富貴角_C0AI20_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_富貴角_C0AI20_combined_windows,,0.9
lstm_separate_復興_C0V710_combined_windows,lstm,separate,復興_C0V710_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_復興_C0V710_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_復興_C0V710_combined_windows,3.23054617234228,0.07
lstm_separate_復興_C0V710_combined_windows,lstm,separate,復興_C0V710_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_復興_C0V710_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_復興_C0V710_combined_windows,,0.9
lstm_separate_湖口_C0D650_combined_windows,lstm,separate,湖口_C0D650_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_湖口_C0D650_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_湖口_C0D650_combined_windows,2.41708756427842,0.07
lstm_separate_湖口_C0D650_combined_windows,lstm,separate,湖口_C0D650_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_湖口_C0D650_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_湖口_C0D650_combined_windows,,0.9
lstm_separate_菜寮_C0AD30_combined_windows,lstm,separate,菜寮_C0AD30_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_菜寮_C0AD30_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_菜寮_C0AD30_combined_windows,3.07691880993472,0.07
lstm_separate_菜寮_C0AD30_combined_windows,lstm,separate,菜寮_C0AD30_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_菜寮_C0AD30_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_菜寮_C0AD30_combined_windows,,0.9
lstm_separate_陽明_466910_combined_windows,lstm,separate,陽明_466910_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_陽明_466910_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_陽明_466910_combined_windows,2.07494118462193,0.07
lstm_separate_陽明_466910_combined_windows,lstm,separate,陽明_466910_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_陽明_466910_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_陽明_466910_combined_windows,,0.9
lstm_separate_新竹_C0D660_combined_windows,lstm,separate,新竹_C0D660_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_新竹_C0D660_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_新竹_C0D660_combined_windows,2.49516075638609,0.07
lstm_separate_新竹_C0D660_combined_windows,lstm,separate,新竹_C0D660_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_新竹_C0D660_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_新竹_C0D660_combined_windows,,0.9
lstm_separate_新店_C0AC80_combined_windows,lstm,separate,新店_C0AC80_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_新店_C0AC80_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_新店_C0AC80_combined_windows,2.70274244077896,0.07
lstm_separate_新店_C0AC80_combined_windows,lstm,separate,新店_C0AC80_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_新店_C0AC80_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_新店_C0AC80_combined_windows,,0.91
lstm_separate_新莊_C0ACA0_combined_windows,lstm,separate,新莊_C0ACA0_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_新莊_C0ACA0_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_新莊_C0ACA0_combined_windows,2.61609413216786,0.07
lstm_separate_新莊_C0ACA0_combined_windows,lstm,separate,新莊_C0ACA0_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_新莊_C0ACA0_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_新莊_C0ACA0_combined_windows,,0.9
